number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,-0.3080368638038635,2026-01-26 01:43:53.213250,2026-01-26 01:43:53.916964,0 days 00:00:00.703714,8.661761457749352,0.662397808134481,0.03574712922600244,2.993292420985183,0.13066739238053282,10,8,321,0.6624074561769746,COMPLETE
1,-0.32558345794677734,2026-01-26 01:43:53.917402,2026-01-26 01:43:54.089986,0 days 00:00:00.172584,3.0424224295953772,0.6727299868828402,0.11114989443094977,4.162213204002109,0.23270677083837804,3,10,286,0.6849356442713105,COMPLETE
2,-0.3090243339538574,2026-01-26 01:43:54.090370,2026-01-26 01:43:54.437055,0 days 00:00:00.346685,7.851759613930136,0.7465447373174766,0.04345454109729477,0.6974693032602092,0.8168455894760166,5,7,140,0.7168578594140872,COMPLETE
3,-0.3248003125190735,2026-01-26 01:43:54.437429,2026-01-26 01:43:55.226465,0 days 00:00:00.789036,9.656320330745594,0.6260206371941118,0.05748924681991978,3.0377242595071916,7.9026195497082306,7,1,414,0.6682096494749166,COMPLETE
4,-0.3237161636352539,2026-01-26 01:43:55.226877,2026-01-26 01:43:55.527691,0 days 00:00:00.300814,9.093204020787821,0.798070764044508,0.028180680291847244,2.2007624686980067,0.1171593739230706,3,7,166,0.6488152939379115,COMPLETE
5,-0.3278488516807556,2026-01-26 01:43:55.529588,2026-01-26 01:43:55.853267,0 days 00:00:00.323679,9.394989415641891,0.9878338511058234,0.09519754482692679,2.7335513967163982,3.550304858128308,5,6,453,0.6739417822102108,COMPLETE
6,-0.2705184817314148,2026-01-26 01:43:55.853654,2026-01-26 01:43:56.479064,0 days 00:00:00.625410,2.713490317738959,0.7301321323053057,0.0764136186923332,0.979914312095726,0.5989003672254302,10,1,423,0.6180909155642152,COMPLETE
7,-0.3030117154121399,2026-01-26 01:43:56.479444,2026-01-26 01:43:56.948293,0 days 00:00:00.468849,7.722447692966574,0.6298202574719083,0.03364867144187955,0.7046211248738132,9.41399304682995,5,6,139,0.9208787923016158,COMPLETE
8,-0.30408722162246704,2026-01-26 01:43:56.948682,2026-01-26 01:43:59.126187,0 days 00:00:02.177505,1.1586905952512971,0.6296178606936361,0.010189592979395137,3.6450358402049368,0.5211124595788266,9,8,439,0.9085081386743783,COMPLETE
9,-0.2902722954750061,2026-01-26 01:43:59.126550,2026-01-26 01:43:59.390319,0 days 00:00:00.263769,8.872127425763265,0.8918424713352257,0.08330803890301997,1.554911608578311,1.884147692154509,5,1,262,0.7300733288106988,COMPLETE
10,-0.2638653516769409,2026-01-26 01:43:59.390686,2026-01-26 01:43:59.796688,0 days 00:00:00.406002,6.062890283015678,0.9630659181130072,0.2643008990658596,4.661451709558937,2.8889085246198714,7,4,487,0.811268713696243,COMPLETE
11,-0.24876940250396729,2026-01-26 01:43:59.797082,2026-01-26 01:43:59.924626,0 days 00:00:00.127544,4.271123056333318,0.9831904699630575,0.19023795764038515,4.6372729628174,0.28494463029657924,3,10,316,0.7824927945666315,COMPLETE
12,-0.2896837592124939,2026-01-26 01:43:59.925011,2026-01-26 01:44:00.122241,0 days 00:00:00.197230,4.74282682665541,0.8728344580898199,0.12079319291238663,3.7628072581059735,2.569166884182467,4,10,227,0.8058393781156832,COMPLETE
13,-0.28257036209106445,2026-01-26 01:44:00.122628,2026-01-26 01:44:00.312457,0 days 00:00:00.189829,2.7210019806425927,0.707711474272855,0.15057882021710656,2.0946182333029255,0.30416543930766204,4,4,359,0.7262525024359869,COMPLETE
14,-0.3215915560722351,2026-01-26 01:44:00.312838,2026-01-26 01:44:00.748261,0 days 00:00:00.435423,6.29540378885119,0.8594805598386782,0.0934968789424006,3.9045283518953733,4.496340709595808,6,4,233,0.8524337374155861,COMPLETE
